Zeitstempel,Bitte geben Sie Ihren dreistellen anonymen Code ein (1.: Anfangsbuchstabe des Vornamens Ihres Vaters; 2.: Anfangsbuchstabe des Mädchennamens Ihrer Mutter; 3: Anfangsbuchstabe Ihres Geburstsorts),Ich bin gerne mit anderen Menschen zusammen.,Ich bin ein Einzelgänger. (-),Ich bin in vielen Vereinen aktiv.,Ich bin ein gesprächiger und kommunikativer Mensch.,Ich bin sehr kontaktfreudig.,Im Grunde bin ich oft lieber für mich allein. (-),Ich kann schnell gute Stimmung verbreiten.,Ich gehe gerne auf Partys.,Ich bin unternehmungslustig.,Ich stehe gerne im Mittelpunkt.,"Wie viele Facebook-Freunde (Kontakte) haben Sie (wenn Sie nicht bei Facebook sind, bitte LEER lassen).","Wie viele ""Kater"" (überreichlicher Alkoholkonsum) hatten Sie in den letzten12 Monaten?",Wie alt sind Sie?,Bitte geben Sie Ihr Geschlecht an.,"Ich würde sagen, ich bin extrovertiert.",Sie gehen alleine auf eine Party. Nach wie viel Minuten sind Sie im Gespräch?,Es wird ein Mitarbeiter (m/w) für eine Präsentation (Messe) gesucht. Melden Sie sich freiwillig?,Wie häufig waren Sie in den letzten 12 Monaten auf einer Party?,Wie oft haben Sie Kundenkontakt?,"Passt die folgende Beschreibung auf Sie?           Eine extravertierte Person ist jemand, der seine Energie eher nach außen richtet und weniger in die innere Welt der Gedanken, Ideen oder Vorstellungen. Daher neigen extravertierte Menschen dazu, in neuen Situationen ohne zu zögern sich in die neue Situationen zu begeben. Zum Beispiel würde eine extravertierte Person, die zum ersten Mal einen Yogakurs besucht, sich nicht scheuen, direkt bei den Übungen mitzumachen. Oder wenn eine extravertierte Person eine Kneipe zum ersten besucht, würde sie sich nicht unbehaglich fühlen. Man kann daher sagen, dass extravertierte Personen als aktiv wahrgenommen werden und sich zu Unternehmungen hingezogen fühlen, bei denen sie mit anderen Personen in Kontakt kommen.",X23,"Wie sehr treffen die folgenden Aussagen auf Sie zu? Bitte denken Sie dabei nicht an spezifische Situationen, sondern ganz allgemein, wie sehr die Aussagen Sie selbst in den meisten Bereichen und Situationen in Ihrem Leben beschreiben.Allgemein wirke ich tendenziell eher wie eine Person, die . . .",Was studieren Sie?,Rauchen Sie?,Wie viele Stunden schlafen Sie durchschnittlich unter der Woche?,Wie viele Stunden schlafen Sie durchschnittlich am Wochenende?
15.09.2015 19:35:41,MMR,2,3,2,2,1,4,3,2,2,1,600,3,22,Mann,2,1000000000,nein,5,im Schnitt 1 Mal pro Monat,NA,NA,NA,NA,NA,NA,NA
15.09.2015 20:29:13,JAA,4,1,1,3,3,2,4,3,3,4,473,2,22,Frau,4,3,ja,12,im Schnitt 1 Mal pro Quartal (oder weniger),NA,NA,NA,NA,NA,NA,NA
15.09.2015 21:58:12,EBM,2,2,4,3,2,2,3,3,3,2,200,1,23,Frau,3,40,nein,5,im Schnitt 1 Mal pro Quartal (oder weniger),NA,NA,NA,NA,NA,NA,NA
15.09.2015 22:21:00,SDS,3,2,2,3,3,2,3,4,3,1,189,5,29,Frau,4,7,nein,12,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
15.09.2015 23:00:23,aab,4,1,1,3,3,2,3,4,4,4,250,0,40,Mann,4,10,ja,5,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
16.09.2015 10:09:06,RVM,4,1,3,4,4,3,3,4,3,1,360,15,19,Frau,3,5,nein,40,im Schnitt 1 Mal pro Quartal (oder weniger),NA,NA,NA,NA,NA,NA,NA
16.09.2015 13:11:32,MWM,4,1,3,4,4,3,4,2,1,2,NA,0,22,Frau,3,NA,nein,NA,NA,NA,NA,NA,NA,NA,NA,NA
18.09.2015 09:56:50,JDF,4,1,1,4,3,2,3,2,4,2,350,3,21,Frau,4,NA,ja,7,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
18.09.2015 20:59:42,dhn,4,2,2,4,4,1,3,4,4,4,550,15,24,Frau,4,3,ja,10,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
19.09.2015 11:07:20,ABS,3,3,3,3,3,2,4,3,3,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20.09.2015 13:36:13,JBM,4,2,2,3,4,2,4,3,4,1,278,4,24,Frau,4,5,ja,10,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
20.09.2015 18:46:14,GSR,3,2,2,3,2,2,3,2,3,2,150,2,22,Frau,3,5,ja,12,im Schnitt 1 Mal pro Tag,NA,NA,NA,NA,NA,NA,NA
20.09.2015 22:04:56,VSM,4,2,2,4,4,2,3,4,3,2,500,0,19,Frau,4,1,ja,10,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
20.09.2015 22:05:20,FEG,4,1,4,4,4,1,4,4,4,4,892,12,21,Mann,3,1,nein,30,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
20.09.2015 22:05:20,GMI,3,1,2,3,3,2,2,3,4,2,388,30,25,Frau,4,10,nein,35,im Schnitt 1 Mal pro Quartal (oder weniger),NA,NA,NA,NA,NA,NA,NA
20.09.2015 22:08:09,CML,4,1,2,3,3,3,4,4,4,2,300,30,25,Frau,4,10,nein,40,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
20.09.2015 22:12:50,SNI,3,1,1,4,3,2,3,3,3,1,250,12,20,Frau,4,5,nein,24,NA,NA,NA,NA,NA,NA,NA,NA
20.09.2015 22:16:20,GGE,4,1,2,3,4,1,3,3,4,3,420,15,24,Frau,4,10,nein,12,im Schnitt 1 Mal pro Woche,NA,NA,NA,NA,NA,NA,NA
20.09.2015 23:06:33,SBM,4,1,2,3,3,1,3,3,3,2,236,1,23,Frau,4,5,nein,10,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
21.09.2015 10:36:16,RMM,3,2,1,3,3,2,2,4,4,1,300,25,20,Frau,2,20,nein,30,im Schnitt 1 Mal pro Quartal (oder weniger),NA,NA,NA,NA,NA,NA,NA
21.09.2015 19:39:58,MMB,3,1,1,3,4,1,3,4,4,2,430,5,23,Frau,4,5,nein,15,im Schnitt 1 Mal pro Tag,NA,NA,NA,NA,NA,NA,NA
21.09.2015 21:29:32,MSI,3,2,3,2,2,2,3,3,3,2,0,0,20,Frau,2,15,nein,20,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
23.09.2015 11:20:31,HHS,4,1,2,4,4,1,3,3,4,3,649,12,22,Frau,4,4,nein,20,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
25.09.2015 12:41:36,DUS,3,3,1,2,2,3,2,2,3,2,195,0,30,Mann,4,60,ja,5,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
26.09.2015 12:54:46,JWD,3,2,1,4,4,2,3,3,3,3,200,4,24,Frau,4,10,ja,36,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
28.09.2015 12:19:51,WHG,4,3,2,4,4,2,4,3,4,4,188,3,45,Mann,4,3,ja,25,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
28.09.2015 23:08:56,WAM,4,3,1,4,3,3,3,3,3,3,410,2,23,Frau,3,3,nein,18,im Schnitt 1 Mal pro Tag,NA,NA,NA,NA,NA,NA,NA
29.09.2015 08:37:26,NM,3,2,1,3,3,2,2,2,3,1,180,0,23,Frau,4,15,nein,2,im Schnitt 1 Mal pro Monat,NA,NA,NA,NA,NA,NA,NA
29.09.2015 08:37:36,HED,4,1,2,4,4,1,2,2,3,2,410,4,23,Frau,3,15,ja,15,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
29.09.2015 08:38:00,UKS,4,1,2,3,3,1,3,3,3,2,321,24,21,Frau,4,5,nein,36,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
29.09.2015 08:38:06,ASS,4,2,3,3,3,2,2,3,3,2,450,3,22,Mann,3,NA,ja,15,im Schnitt 1 Mal pro Tag,NA,NA,NA,NA,NA,NA,NA
29.09.2015 08:39:16,GBV,4,1,2,3,3,2,3,3,3,2,400,10,21,Frau,3,5,nein,25,im Schnitt 1 Mal pro Monat,NA,NA,NA,NA,NA,NA,NA
29.09.2015 08:39:32,MRM,4,1,4,4,4,3,4,3,4,3,412,3,26,Frau,4,5,nein,16,im Schnitt 1 Mal pro Tag,NA,NA,NA,NA,NA,NA,NA
29.09.2015 10:25:32,SFZM,4,1,3,3,3,2,2,1,2,2,197,0,20,Frau,3,0,nein,2,im Schnitt 1 Mal pro Quartal (oder weniger),NA,NA,NA,NA,NA,NA,NA
29.09.2015 12:29:38,WEB,3,1,1,3,4,2,3,3,4,2,350,24,29,Frau,NA,5,nein,56,im Schnitt 1 Mal pro Tag,NA,NA,NA,NA,NA,NA,NA
30.09.2015 12:52:52,FRW,4,1,1,4,4,1,4,4,4,4,0,0,40,Frau,4,3,ja,4,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
01.10.2015 09:13:09,OHN,3,2,2,3,3,2,3,3,4,2,261,4,25,Frau,3,5,ja,10,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
01.10.2015 12:46:04,BGM,4,1,1,4,4,2,3,3,3,2,400,30,25,Frau,4,10,nein,40,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
01.10.2015 22:50:15,Wga,4,1,2,4,4,2,4,3,4,3,600,2,20,Frau,4,2,nein,5,im Schnitt 1 Mal pro Tag,NA,NA,NA,NA,NA,NA,NA
02.10.2015 08:27:37,KMA,4,2,2,4,4,3,3,3,3,3,200,20,28,Frau,4,5,nein,15,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
02.10.2015 08:49:04,RDA,3,2,4,3,3,3,3,2,3,1,517,0,25,Frau,3,10,nein,10,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
02.10.2015 14:32:59,HPA,4,2,4,3,2,1,3,3,4,2,400,20,25,Mann,4,10,ja,15,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
05.10.2015 21:10:25,OSB,4,1,1,3,4,1,4,3,4,3,550,5,24,Frau,4,2,ja,8,im Schnitt 1 Mal pro Woche,NA,NA,NA,NA,NA,NA,NA
07.10.2015 12:09:45,FGL,2,2,2,3,3,2,4,2,2,4,325,5,29,Frau,2,5,ja,1,im Schnitt 1 Mal pro Woche,NA,NA,NA,NA,NA,NA,NA
07.10.2015 21:53:03,RBI,3,2,1,2,2,2,3,3,3,3,200,5,22,Frau,3,20,nein,25,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
09.10.2015 21:38:48,RBA,3,3,1,2,2,4,1,4,2,3,450,28,28,Mann,3,5,ja,14,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
09.10.2015 22:02:41,HSE,4,1,1,3,3,2,3,3,3,3,60,3,26,Mann,3,5,ja,5,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
10.10.2015 07:47:26,REA,3,4,1,3,2,3,2,1,2,1,NA,2,25,Mann,3,15,ja,1,im Schnitt 1 Mal pro Tag,NA,NA,NA,NA,NA,NA,NA
10.10.2015 09:27:46,WTF,4,2,2,4,4,1,3,3,4,4,NA,1,30,Mann,4,6,ja,4,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
10.10.2015 09:32:01,Cori,4,1,2,4,4,2,3,3,3,2,319,5,24,Frau,3,NA,ja,10,Ich habe keinen Kundenkontakt,NA,NA,NA,NA,NA,NA,NA
10.10.2015 09:40:55,MFA,4,1,2,3,4,2,4,3,4,3,635,3,25,Frau,4,1,ja,10,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
15.10.2015 15:40:23,WAE,2,2,1,3,2,3,2,2,3,1,NA,1,43,Mann,3,10,nein,2,im Schnitt 1 Mal pro Tag,NA,NA,NA,NA,NA,NA,NA
22.10.2015 19:45:24,MWM,3,1,2,4,3,1,4,2,4,3,234,3,30,Mann,3,NA,NA,30,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
25.10.2015 14:36:11,WUB,4,2,1,4,4,3,4,3,3,3,520,10,26,Frau,4,2,ja,26,im Schnitt 1 Mal pro Tag,NA,NA,NA,NA,NA,NA,NA
02.11.2015 20:49:58,EGH,4,2,2,4,3,2,3,3,4,4,228,0,32,Frau,4,5,nein,15,im Schnitt 1 Mal pro Tag,NA,NA,NA,NA,NA,NA,NA
18.11.2015 16:30:52,mzr,1,4,3,3,1,3,2,1,1,4,NA,0,45,Mann,1,45,ja,0,im Schnitt 1 Mal pro Monat,NA,NA,NA,NA,NA,NA,NA
02.12.2015 16:15:52,BMM,3,3,1,2,2,4,3,1,2,2,NA,4,23,Mann,3,30,nein,7,im Schnitt 1 Mal pro Monat,NA,NA,NA,NA,NA,NA,NA
03.12.2015 14:29:09,GKM,4,2,1,4,3,2,4,3,4,2,360,10,21,Frau,2,30,nein,30,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
03.12.2015 19:34:45,shm,3,1,1,3,3,3,2,2,4,2,315,0,24,Frau,2,45,nein,3,3 Mal pro Woche,NA,NA,NA,NA,NA,NA,NA
04.12.2015 15:40:50,FHM,3,1,2,3,4,2,3,2,4,2,NA,0,22,Mann,3,30,nein,5,100,NA,NA,NA,NA,NA,NA,NA
05.12.2015 11:11:57,kbf,4,2,2,4,2,2,2,3,3,1,629,18,21,Frau,4,30,ja,34,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
05.12.2015 15:30:27,JMM,4,2,2,2,3,2,2,4,4,1,391,6,21,Frau,3,30,nein,50,im Schnitt 1 Mal pro Tag,NA,NA,NA,NA,NA,NA,NA
09.12.2015 17:20:52,kcw,4,1,3,4,4,1,4,3,3,3,NA,153,38,Mann,NA,1,ja,4,im Schnitt 1 Mal pro Monat,NA,NA,NA,NA,NA,NA,NA
15.12.2015 15:00:16,WKR,4,1,3,3,3,1,4,4,4,1,120,1,28,Frau,4,10,nein,6,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
01.01.2016 18:16:00,HKK,4,1,3,4,4,1,3,3,3,3,250,0,45,Frau,4,5,ja,6,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
19.01.2016 19:43:52,GGM,3,2,3,2,2,4,2,2,3,1,350,2,23,Frau,3,45,nein,4,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
01.02.2016 17:50:10,EUL,3,2,1,4,4,2,4,3,3,4,600,10,26,Mann,4,3,ja,10,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
02.02.2016 19:44:07,VEB,3,3,2,3,3,2,2,3,2,4,NA,0,31,Frau,4,10,nein,0,im Schnitt 1 Mal pro Woche,NA,NA,NA,NA,NA,NA,NA
02.02.2016 20:42:15,PZC,4,3,3,3,3,2,4,4,4,2,550,2,27,Mann,4,30,ja,10,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
03.02.2016 13:51:55,GAH,4,1,3,4,3,3,4,3,4,3,NA,3,32,Mann,3,5,ja,5,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
04.02.2016 18:45:42,BTL,4,2,1,4,3,2,3,4,3,3,155,3,26,Frau,3,2,nein,3,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
08.02.2016 13:17:36,MBG,3,2,1,4,4,3,3,3,3,2,140,0,45,Frau,3,10,ja,5,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA
29.02.2016 11:23:12,MKG,4,2,2,4,4,1,4,2,4,4,NA,1,32,Frau,3,10,ja,6,im Schnitt 1 Mal pro Tag,passt insgesamt,NA,3,NA,NA,NA,NA
03.03.2016 15:33:23,NA,3,2,2,2,2,2,3,2,3,1,250,1,24,Frau,1,NA,nein,6,im Schnitt 1 Mal pro Quartal (oder weniger),keine Antwort,NA,6,NA,NA,NA,NA
03.03.2016 15:33:29,FBR,3,2,3,4,3,2,2,2,3,2,294,2,28,Frau,3,27,ja,1,im Schnitt mehrfach pro Tag,passt insgesamt nicht,NA,4,NA,NA,NA,NA
03.03.2016 15:34:44,CZP,4,2,3,4,4,1,3,3,3,2,600,0,24,Frau,3,NA,nein,30,im Schnitt mehrfach pro Tag,passt insgesamt,NA,3,NA,NA,NA,NA
03.03.2016 15:34:46,NA,4,2,3,3,3,1,3,4,4,4,500,0,20,Frau,3,7,nein,4,im Schnitt mehrfach pro Tag,passt insgesamt,NA,3,NA,NA,NA,NA
03.03.2016 15:34:53,ism,4,1,2,4,4,2,3,3,3,2,300,0,20,Frau,3,30,nein,5,im Schnitt 1 Mal pro Monat,keine Antwort,NA,3,NA,NA,NA,NA
03.03.2016 15:35:02,Asm,4,2,3,4,3,2,4,3,4,3,350,10,23,Frau,3,15,nein,20,im Schnitt mehrfach pro Tag,passt insgesamt,NA,3,NA,NA,NA,NA
03.03.2016 15:35:08,TPF,3,2,1,3,3,1,3,4,4,2,608,2,24,Frau,2,10,nein,30,im Schnitt mehrfach pro Tag,passt insgesamt,NA,5,NA,NA,NA,NA
03.03.2016 15:35:15,Oam,2,3,3,3,3,3,1,3,1,2,NA,6,24,Mann,3,15,nein,6,im Schnitt 1 Mal pro Woche,passt insgesamt nicht,NA,4,NA,NA,NA,NA
03.03.2016 15:35:28,AEM,3,2,1,4,4,2,3,3,3,2,500,10,21,Frau,3,10,nein,5,ich arbeite ncht,keine Antwort,NA,6,NA,NA,NA,NA
03.03.2016 15:35:32,NA,4,2,2,3,3,2,3,3,4,1,521,12,25,Frau,2,10,ja,12,im Schnitt mehrfach pro Tag,passt insgesamt,NA,5,NA,NA,NA,NA
03.03.2016 15:35:34,JMM,3,2,1,3,3,2,3,4,3,3,280,12,23,Frau,2,10,nein,30,im Schnitt mehrfach pro Tag,passt insgesamt,NA,4,NA,NA,NA,NA
