"","timestamp","code","i01","i02r","i03","i04","i05","i06r","i07","i08","i09","i10","n_facebook_friends","n_hangover","age","sex","extra_single_item","time_conversation","presentation","n_party","clients","extra_vignette","extra_description","prop_na_per_row","extra_mean","extra_median","client_freq"
"11","11.03.2015 19:19:40","PTG",3,3,1,3,3,3,2,3,4,1,400,1,25,"Frau",4,1,"nein",10,"","",NA,0.0434782608695652,2.6,3,NA
"12","11.03.2015 19:20:02","HRM",3,4,1,3,2,3,4,2,2,3,160,2,52,"Frau",4,5,"ja",5,"","",NA,0.0434782608695652,2.7,3,NA
"13","11.03.2015 19:20:02","WHB",4,3,1,2,3,3,2,3,4,2,463,20,32,"Mann",4,5,"ja",10,"","",NA,0.0434782608695652,2.7,3,NA
"14","11.03.2015 19:20:07","TSL",4,3,4,4,3,3,3,3,4,3,308,2,25,"Mann",4,5,"ja",10,"","",NA,0.0434782608695652,3.4,3,NA
"15","11.03.2015 19:20:20","AKS",3,3,1,3,3,3,3,4,4,2,305,20,23,"Frau",4,30,"nein",45,"","",NA,0.0434782608695652,2.9,3,NA
"16","11.03.2015 19:20:33","WGM",4,4,2,4,3,4,3,3,4,3,520,7,27,"Frau",4,15,"ja",12,"","",NA,0.0434782608695652,3.4,3.5,NA
"17","11.03.2015 19:20:43","WEL",4,4,3,4,3,3,3,2,4,3,369,0,32,"Frau",4,10,"nein",5,"","",NA,0.0434782608695652,3.3,3,NA
"18","11.03.2015 19:20:52","WOM",4,3,3,4,4,4,4,4,4,3,NA,12,23,"Mann",4,4,"ja",120,"","",NA,0.0869565217391304,3.7,4,NA
"19","11.03.2015 19:21:52","BKM",3,3,1,4,3,3,3,3,3,2,349,1,33,"Mann",4,5,"nein",2,"","",NA,0.0434782608695652,2.8,3,NA
"20","11.03.2015 19:27:20","PTG",3,3,1,3,3,3,2,3,4,1,400,1,25,"Frau",4,1,"nein",10,"","",NA,0.0434782608695652,2.6,3,NA
"21","12.03.2015 07:06:02","HHD",4,4,2,4,4,4,4,4,4,3,607,30,27,"Frau",4,2,"nein",30,"","",NA,0.0434782608695652,3.7,4,NA
"22","12.03.2015 11:17:49","HHM",3,2,1,2,1,4,1,3,4,1,197,12,26,"Mann",3,30,"ja",24,"","",NA,0.0434782608695652,2.2,2,NA
"23","21.03.2015 17:32:11","WGM",4,4,2,4,3,4,3,3,4,3,520,7,27,"Frau",4,15,"ja",12,"","",NA,0.0434782608695652,3.4,3.5,NA
"24","11.05.2015 18:17:42","KSF",3,3,1,4,3,3,3,2,3,3,NA,0,32,"Frau",3,5,"ja",10,"","",NA,0.0869565217391304,2.8,3,NA
"25","11.05.2015 18:17:57","MJC",3,3,2,3,3,3,3,4,3,2,200,6,25,"Frau",3,10,"ja",12,"","",NA,0.0434782608695652,2.9,3,NA
"26","11.05.2015 18:18:11","SBM",3,3,1,3,2,3,3,3,4,1,NA,0,27,"Frau",3,15,"ja",20,"","",NA,0.0869565217391304,2.6,3,NA
"27","11.05.2015 18:18:25","EGF",2,3,3,2,3,3,3,3,2,2,NA,NA,27,"Frau",2,NA,"nein",NA,"","",NA,0.0869565217391304,2.6,3,NA
"28","11.05.2015 18:18:39","HPR",3,3,1,3,3,3,3,3,3,2,400,12,29,"Frau",3,NA,"nein",5,"","",NA,0.0434782608695652,2.7,3,NA
"29","11.05.2015 18:19:07","WHM",4,2,3,3,2,3,3,4,3,4,590,12,29,"Mann",4,15,"ja",25,"","",NA,0.0434782608695652,3.1,3,NA
"30","11.05.2015 18:19:15","MKB",3,4,2,4,4,2,3,3,4,4,150,1,25,"Frau",3,7,"ja",2,"","",NA,0.0434782608695652,3.3,3.5,NA
"31","11.05.2015 21:53:59","MKB",3,4,2,4,4,2,3,3,4,4,150,1,25,"Frau",3,7,"ja",2,"","",NA,0.0434782608695652,3.3,3.5,NA
"32","15.09.2015 15:28:03","RWM",4,3,2,4,3,2,4,2,4,3,220,1,23,"Mann",3,20,"nein",5,"im Schnitt 1 Mal pro Tag","",NA,0.0434782608695652,3.1,3,"4"
"33","15.09.2015 15:28:40","EBM",2,3,4,3,2,3,3,3,3,2,200,1,23,"Frau",3,40,"nein",5,"im Schnitt 1 Mal pro Quartal (oder weniger)","",NA,0.0434782608695652,2.8,3,"1"
"34","15.09.2015 15:29:47","BED",3,2,1,3,3,3,2,3,3,2,400,2,33,"Frau",3,10,"ja",10,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,2.5,3,"5"
"35","15.09.2015 15:32:00","AUA",3,2,2,3,3,3,4,1,3,3,800,1,21,"Mann",2,5,"ja",0,"im Schnitt 1 Mal pro Tag","",NA,0.0434782608695652,2.7,3,"4"
"36","15.09.2015 15:37:06","MDG",3,1,2,4,3,1,3,3,2,4,350,50,24,"Mann",1,10,"nein",50,"im Schnitt 1 Mal pro Quartal (oder weniger)","",NA,0.0434782608695652,2.6,3,"1"
"37","15.09.2015 16:04:55","TBA",4,4,2,4,3,3,3,4,4,4,423,10,23,"Frau",3,10,"ja",15,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,3.5,4,"5"
"38","15.09.2015 16:19:39","SBR",3,3,1,3,3,3,3,3,4,2,NA,4,25,"Frau",3,5,"nein",8,"im Schnitt mehrfach pro Tag","",NA,0.0869565217391304,2.8,3,"5"
"39","15.09.2015 16:29:17","UFW",4,4,3,4,3,3,3,3,3,2,250,0,24,"Frau",4,10,"ja",65,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,3.2,3,"5"
"40","15.09.2015 17:20:23","HHB",4,3,2,4,4,3,3,3,4,3,NA,2,21,"Frau",4,2,"ja",5,"im Schnitt 1 Mal pro Quartal (oder weniger)","",NA,0.0869565217391304,3.3,3,"1"
"41","15.09.2015 17:20:54","HHB",4,3,2,4,4,3,3,3,4,3,0,2,21,"Frau",4,2,"ja",5,"im Schnitt 1 Mal pro Quartal (oder weniger)","",NA,0.0434782608695652,3.3,3,"1"
"42","15.09.2015 19:02:03","RVK",4,3,1,4,4,3,4,4,4,3,767,0,22,"Mann",4,5,"ja",110,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,3.4,4,"5"
"43","15.09.2015 19:35:41","MMR",2,2,2,2,1,1,3,2,2,1,600,3,22,"Mann",2,1e+09,"nein",5,"im Schnitt 1 Mal pro Monat","",NA,0.0434782608695652,1.8,2,"2"
"44","15.09.2015 20:29:13","JAA",4,4,1,3,3,3,4,3,3,4,473,2,22,"Frau",4,3,"ja",12,"im Schnitt 1 Mal pro Quartal (oder weniger)","",NA,0.0434782608695652,3.2,3,"1"
"45","15.09.2015 21:58:12","EBM",2,3,4,3,2,3,3,3,3,2,200,1,23,"Frau",3,40,"nein",5,"im Schnitt 1 Mal pro Quartal (oder weniger)","",NA,0.0434782608695652,2.8,3,"1"
"46","15.09.2015 22:21:00","SDS",3,3,2,3,3,3,3,4,3,1,189,5,29,"Frau",4,7,"nein",12,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,2.8,3,"5"
"47","15.09.2015 23:00:23","aab",4,4,1,3,3,3,3,4,4,4,250,0,40,"Mann",4,10,"ja",5,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,3.3,3.5,"5"
"48","16.09.2015 10:09:06","RVM",4,4,3,4,4,2,3,4,3,1,360,15,19,"Frau",3,5,"nein",40,"im Schnitt 1 Mal pro Quartal (oder weniger)","",NA,0.0434782608695652,3.2,3.5,"1"
"49","16.09.2015 13:11:32","MWM",4,4,3,4,4,2,4,2,1,2,NA,0,22,"Frau",3,NA,"nein",NA,"","",NA,0.0869565217391304,3,3.5,NA
"50","18.09.2015 09:56:50","JDF",4,4,1,4,3,3,3,2,4,2,350,3,21,"Frau",4,NA,"ja",7,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,3,3,"5"
"51","18.09.2015 20:59:42","dhn",4,3,2,4,4,4,3,4,4,4,550,15,24,"Frau",4,3,"ja",10,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,3.6,4,"5"
"52","19.09.2015 11:07:20","ABS",3,2,3,3,3,3,4,3,3,3,NA,NA,NA,"",3,NA,"",NA,"","",NA,0.130434782608696,3,3,NA
"53","20.09.2015 13:36:13","JBM",4,3,2,3,4,3,4,3,4,1,278,4,24,"Frau",4,5,"ja",10,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,3.1,3,"5"
"54","20.09.2015 18:46:14","GSR",3,3,2,3,2,3,3,2,3,2,150,2,22,"Frau",3,5,"ja",12,"im Schnitt 1 Mal pro Tag","",NA,0.0434782608695652,2.6,3,"4"
"55","20.09.2015 22:04:56","VSM",4,3,2,4,4,3,3,4,3,2,500,0,19,"Frau",4,1,"ja",10,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,3.2,3,"5"
"56","20.09.2015 22:05:20","FEG",4,4,4,4,4,4,4,4,4,4,892,12,21,"Mann",3,1,"nein",30,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,4,4,"5"
"57","20.09.2015 22:05:20","GMI",3,4,2,3,3,3,2,3,4,2,388,30,25,"Frau",4,10,"nein",35,"im Schnitt 1 Mal pro Quartal (oder weniger)","",NA,0.0434782608695652,2.9,3,"1"
"58","20.09.2015 22:08:09","CML",4,4,2,3,3,2,4,4,4,2,300,30,25,"Frau",4,10,"nein",40,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,3.2,3.5,"5"
"59","20.09.2015 22:12:50","SNI",3,4,1,4,3,3,3,3,3,1,250,12,20,"Frau",4,5,"nein",24,"","",NA,0.0434782608695652,2.8,3,NA
"60","20.09.2015 22:16:20","GGE",4,4,2,3,4,4,3,3,4,3,420,15,24,"Frau",4,10,"nein",12,"im Schnitt 1 Mal pro Woche","",NA,0.0434782608695652,3.4,3.5,"3"
"61","20.09.2015 23:06:33","SBM",4,4,2,3,3,4,3,3,3,2,236,1,23,"Frau",4,5,"nein",10,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,3.1,3,"5"
"62","21.09.2015 10:36:16","RMM",3,3,1,3,3,3,2,4,4,1,300,25,20,"Frau",2,20,"nein",30,"im Schnitt 1 Mal pro Quartal (oder weniger)","",NA,0.0434782608695652,2.7,3,"1"
"63","21.09.2015 19:39:58","MMB",3,4,1,3,4,4,3,4,4,2,430,5,23,"Frau",4,5,"nein",15,"im Schnitt 1 Mal pro Tag","",NA,0.0434782608695652,3.2,3.5,"4"
"64","21.09.2015 21:29:32","MSI",3,3,3,2,2,3,3,3,3,2,0,0,20,"Frau",2,15,"nein",20,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,2.7,3,"5"
"65","23.09.2015 11:20:31","HHS",4,4,2,4,4,4,3,3,4,3,649,12,22,"Frau",4,4,"nein",20,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,3.5,4,"5"
"66","25.09.2015 12:41:36","DUS",3,2,1,2,2,2,2,2,3,2,195,0,30,"Mann",4,60,"ja",5,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,2.1,2,"5"
"67","26.09.2015 12:54:46","JWD",3,3,1,4,4,3,3,3,3,3,200,4,24,"Frau",4,10,"ja",36,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,3,3,"5"
"68","28.09.2015 12:19:51","WHG",4,2,2,4,4,3,4,3,4,4,188,3,45,"Mann",4,3,"ja",25,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,3.4,4,"5"
"69","28.09.2015 23:08:56","WAM",4,2,1,4,3,2,3,3,3,3,410,2,23,"Frau",3,3,"nein",18,"im Schnitt 1 Mal pro Tag","",NA,0.0434782608695652,2.8,3,"4"
"70","29.09.2015 08:37:26","NM",3,3,1,3,3,3,2,2,3,1,180,0,23,"Frau",4,15,"nein",2,"im Schnitt 1 Mal pro Monat","",NA,0.0434782608695652,2.4,3,"2"
"71","29.09.2015 08:37:36","HED",4,4,2,4,4,4,2,2,3,2,410,4,23,"Frau",3,15,"ja",15,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,3.1,3.5,"5"
"72","29.09.2015 08:38:00","UKS",4,4,2,3,3,4,3,3,3,2,321,24,21,"Frau",4,5,"nein",36,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,3.1,3,"5"
"73","29.09.2015 08:38:06","ASS",4,3,3,3,3,3,2,3,3,2,450,3,22,"Mann",3,NA,"ja",15,"im Schnitt 1 Mal pro Tag","",NA,0.0434782608695652,2.9,3,"4"
"74","29.09.2015 08:39:16","GBV",4,4,2,3,3,3,3,3,3,2,400,10,21,"Frau",3,5,"nein",25,"im Schnitt 1 Mal pro Monat","",NA,0.0434782608695652,3,3,"2"
"75","29.09.2015 08:39:32","MRM",4,4,4,4,4,2,4,3,4,3,412,3,26,"Frau",4,5,"nein",16,"im Schnitt 1 Mal pro Tag","",NA,0.0434782608695652,3.6,4,"4"
"76","29.09.2015 10:25:32","SFZM",4,4,3,3,3,3,2,1,2,2,197,0,20,"Frau",3,0,"nein",2,"im Schnitt 1 Mal pro Quartal (oder weniger)","",NA,0.0434782608695652,2.7,3,"1"
"77","29.09.2015 12:29:38","WEB",3,4,1,3,4,3,3,3,4,2,350,24,29,"Frau",NA,5,"nein",56,"im Schnitt 1 Mal pro Tag","",NA,0.0869565217391304,3,3,"4"
"78","30.09.2015 12:52:52","FRW",4,4,1,4,4,4,4,4,4,4,0,0,40,"Frau",4,3,"ja",4,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,3.7,4,"5"
"79","01.10.2015 09:13:09","OHN",3,3,2,3,3,3,3,3,4,2,261,4,25,"Frau",3,5,"ja",10,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,2.9,3,"5"
"80","01.10.2015 12:46:04","BGM",4,4,1,4,4,3,3,3,3,2,400,30,25,"Frau",4,10,"nein",40,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,3.1,3,"5"
"81","01.10.2015 22:50:15","Wga",4,4,2,4,4,3,4,3,4,3,600,2,20,"Frau",4,2,"nein",5,"im Schnitt 1 Mal pro Tag","",NA,0.0434782608695652,3.5,4,"4"
"82","02.10.2015 08:27:37","KMA",4,3,2,4,4,2,3,3,3,3,200,20,28,"Frau",4,5,"nein",15,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,3.1,3,"5"
"83","02.10.2015 08:49:04","RDA",3,3,4,3,3,2,3,2,3,1,517,0,25,"Frau",3,10,"nein",10,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,2.7,3,"5"
"84","02.10.2015 14:32:59","HPA",4,3,4,3,2,4,3,3,4,2,400,20,25,"Mann",4,10,"ja",15,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,3.2,3,"5"
"85","05.10.2015 21:10:25","OSB",4,4,1,3,4,4,4,3,4,3,550,5,24,"Frau",4,2,"ja",8,"im Schnitt 1 Mal pro Woche","",NA,0.0434782608695652,3.4,4,"3"
"86","07.10.2015 12:09:45","FGL",2,3,2,3,3,3,4,2,2,4,325,5,29,"Frau",2,5,"ja",1,"im Schnitt 1 Mal pro Woche","",NA,0.0434782608695652,2.8,3,"3"
"87","07.10.2015 21:53:03","RBI",3,3,1,2,2,3,3,3,3,3,200,5,22,"Frau",3,20,"nein",25,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,2.6,3,"5"
"88","09.10.2015 21:38:48","RBA",3,2,1,2,2,1,1,4,2,3,450,28,28,"Mann",3,5,"ja",14,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,2.1,2,"5"
"89","09.10.2015 22:02:41","HSE",4,4,1,3,3,3,3,3,3,3,60,3,26,"Mann",3,5,"ja",5,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,3,3,"5"
"90","10.10.2015 07:47:26","REA",3,1,1,3,2,2,2,1,2,1,NA,2,25,"Mann",3,15,"ja",1,"im Schnitt 1 Mal pro Tag","",NA,0.0869565217391304,1.8,2,"4"
"91","10.10.2015 09:27:46","WTF",4,3,2,4,4,4,3,3,4,4,NA,1,30,"Mann",4,6,"ja",4,"im Schnitt mehrfach pro Tag","",NA,0.0869565217391304,3.5,4,"5"
"92","10.10.2015 09:32:01","Cori",4,4,2,4,4,3,3,3,3,2,319,5,24,"Frau",3,NA,"ja",10,"Ich habe keinen Kundenkontakt","",NA,0.0434782608695652,3.2,3,"0"
"93","10.10.2015 09:40:55","MFA",4,4,2,3,4,3,4,3,4,3,635,3,25,"Frau",4,1,"ja",10,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,3.4,3.5,"5"
"94","15.10.2015 15:40:23","WAE",2,3,1,3,2,2,2,2,3,1,NA,1,43,"Mann",3,10,"nein",2,"im Schnitt 1 Mal pro Tag","",NA,0.0869565217391304,2.1,2,"4"
"95","22.10.2015 19:45:24","MWM",3,4,2,4,3,4,4,2,4,3,234,3,30,"Mann",3,NA,"",30,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,3.3,3.5,"5"
"96","25.10.2015 14:36:11","WUB",4,3,1,4,4,2,4,3,3,3,520,10,26,"Frau",4,2,"ja",26,"im Schnitt 1 Mal pro Tag","",NA,0.0434782608695652,3.1,3,"4"
"97","02.11.2015 20:49:58","EGH",4,3,2,4,3,3,3,3,4,4,228,0,32,"Frau",4,5,"nein",15,"im Schnitt 1 Mal pro Tag","",NA,0.0434782608695652,3.3,3,"4"
"98","18.11.2015 16:30:52","mzr",1,1,3,3,1,2,2,1,1,4,NA,0,45,"Mann",1,45,"ja",0,"im Schnitt 1 Mal pro Monat","",NA,0.0869565217391304,1.9,1.5,"2"
"99","02.12.2015 16:15:52","BMM",3,2,1,2,2,1,3,1,2,2,NA,4,23,"Mann",3,30,"nein",7,"im Schnitt 1 Mal pro Monat","",NA,0.0869565217391304,1.9,2,"2"
"100","03.12.2015 14:29:09","GKM",4,3,1,4,3,3,4,3,4,2,360,10,21,"Frau",2,30,"nein",30,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,3.1,3,"5"
"101","03.12.2015 19:34:45","shm",3,4,1,3,3,2,2,2,4,2,315,0,24,"Frau",2,45,"nein",3,"3 Mal pro Woche","",NA,0.0434782608695652,2.6,2.5,"4"
"102","04.12.2015 15:40:50","FHM",3,4,2,3,4,3,3,2,4,2,NA,0,22,"Mann",3,30,"nein",5,"100","",NA,0.0869565217391304,3,3,"3"
"103","05.12.2015 11:11:57","kbf",4,3,2,4,2,3,2,3,3,1,629,18,21,"Frau",4,30,"ja",34,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,2.7,3,"5"
"104","05.12.2015 15:30:27","JMM",4,3,2,2,3,3,2,4,4,1,391,6,21,"Frau",3,30,"nein",50,"im Schnitt 1 Mal pro Tag","",NA,0.0434782608695652,2.8,3,"4"
"105","09.12.2015 17:20:52","kcw",4,4,3,4,4,4,4,3,3,3,NA,153,38,"Mann",NA,1,"ja",4,"im Schnitt 1 Mal pro Monat","",NA,0.130434782608696,3.6,4,"2"
"106","15.12.2015 15:00:16","WKR",4,4,3,3,3,4,4,4,4,1,120,1,28,"Frau",4,10,"nein",6,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,3.4,4,"5"
"107","01.01.2016 18:16:00","HKK",4,4,3,4,4,4,3,3,3,3,250,0,45,"Frau",4,5,"ja",6,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,3.5,3.5,"5"
"108","19.01.2016 19:43:52","GGM",3,3,3,2,2,1,2,2,3,1,350,2,23,"Frau",3,45,"nein",4,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,2.2,2,"5"
"109","01.02.2016 17:50:10","EUL",3,3,1,4,4,3,4,3,3,4,600,10,26,"Mann",4,3,"ja",10,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,3.2,3,"5"
"110","02.02.2016 19:44:07","VEB",3,2,2,3,3,3,2,3,2,4,NA,0,31,"Frau",4,10,"nein",0,"im Schnitt 1 Mal pro Woche","",NA,0.0869565217391304,2.7,3,"3"
"111","02.02.2016 20:42:15","PZC",4,2,3,3,3,3,4,4,4,2,550,2,27,"Mann",4,30,"ja",10,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,3.2,3,"5"
"112","03.02.2016 13:51:55","GAH",4,4,3,4,3,2,4,3,4,3,NA,3,32,"Mann",3,5,"ja",5,"im Schnitt mehrfach pro Tag","",NA,0.0869565217391304,3.4,3.5,"5"
"113","04.02.2016 18:45:42","BTL",4,3,1,4,3,3,3,4,3,3,155,3,26,"Frau",3,2,"nein",3,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,3.1,3,"5"
"114","08.02.2016 13:17:36","MBG",3,3,1,4,4,2,3,3,3,2,140,0,45,"Frau",3,10,"ja",5,"im Schnitt mehrfach pro Tag","",NA,0.0434782608695652,2.8,3,"5"
"115","29.02.2016 11:23:12","MKG",4,3,2,4,4,4,4,2,4,4,NA,1,32,"Frau",3,10,"ja",6,"im Schnitt 1 Mal pro Tag","passt insgesamt",3,0.0434782608695652,3.5,4,"4"
"116","03.03.2016 15:33:23","",3,3,2,2,2,3,3,2,3,1,250,1,24,"Frau",1,NA,"nein",6,"im Schnitt 1 Mal pro Quartal (oder weniger)","keine Antwort",6,0,2.4,2.5,"1"
"117","03.03.2016 15:33:29","FBR",3,3,3,4,3,3,2,2,3,2,294,2,28,"Frau",3,27,"ja",1,"im Schnitt mehrfach pro Tag","passt insgesamt nicht",4,0,2.8,3,"5"
"118","03.03.2016 15:34:44","CZP",4,3,3,4,4,4,3,3,3,2,600,0,24,"Frau",3,NA,"nein",30,"im Schnitt mehrfach pro Tag","passt insgesamt",3,0,3.3,3,"5"
"119","03.03.2016 15:34:46","",4,3,3,3,3,4,3,4,4,4,500,0,20,"Frau",3,7,"nein",4,"im Schnitt mehrfach pro Tag","passt insgesamt",3,0,3.5,3.5,"5"
"120","03.03.2016 15:34:53","ism",4,4,2,4,4,3,3,3,3,2,300,0,20,"Frau",3,30,"nein",5,"im Schnitt 1 Mal pro Monat","keine Antwort",3,0,3.2,3,"2"
"121","03.03.2016 15:35:02","Asm",4,3,3,4,3,3,4,3,4,3,350,10,23,"Frau",3,15,"nein",20,"im Schnitt mehrfach pro Tag","passt insgesamt",3,0,3.4,3,"5"
"122","03.03.2016 15:35:08","TPF",3,3,1,3,3,4,3,4,4,2,608,2,24,"Frau",2,10,"nein",30,"im Schnitt mehrfach pro Tag","passt insgesamt",5,0,3,3,"5"
"123","03.03.2016 15:35:15","Oam",2,2,3,3,3,2,1,3,1,2,NA,6,24,"Mann",3,15,"nein",6,"im Schnitt 1 Mal pro Woche","passt insgesamt nicht",4,0.0434782608695652,2.2,2,"3"
"124","03.03.2016 15:35:28","AEM",3,3,1,4,4,3,3,3,3,2,500,10,21,"Frau",3,10,"nein",5,"ich arbeite ncht ","keine Antwort",6,0,2.9,3,"0"
"125","03.03.2016 15:35:32","",4,3,2,3,3,3,3,3,4,1,521,12,25,"Frau",2,10,"ja",12,"im Schnitt mehrfach pro Tag","passt insgesamt",5,0,2.9,3,"5"
"126","03.03.2016 15:35:34","JMM",3,3,1,3,3,3,3,4,3,3,280,12,23,"Frau",2,10,"nein",30,"im Schnitt mehrfach pro Tag","passt insgesamt",4,0,2.9,3,"5"
"127","03.03.2016 15:35:57","MKW",4,4,1,3,2,4,2,4,4,2,250,12,22,"Frau",2,10,"nein",12,"im Schnitt 1 Mal pro Quartal (oder weniger)","passt insgesamt",6,0,3,3.5,"1"
"128","03.03.2016 15:36:00","AWP",3,3,1,4,4,3,3,4,3,3,120,20,23,"Frau",4,15,"nein",22,"im Schnitt 1 Mal pro Quartal (oder weniger)","keine Antwort",2,0,3.1,3,"1"
"129","03.03.2016 15:36:08","Wwm",4,4,3,3,4,4,3,3,4,2,606,1,21,"Frau",3,1,"nein",5,"im Schnitt 1 Mal pro Tag","keine Antwort",3,0,3.4,3.5,"4"
"130","03.03.2016 15:36:12","obs",3,4,2,4,4,4,2,3,3,2,510,3,22,"Frau",3,5,"ja",15,"im Schnitt mehrfach pro Tag","keine Antwort",5,0,3.1,3,"5"
"131","03.03.2016 15:36:14","",3,4,4,4,3,3,4,3,3,3,600,25,22,"Mann",4,1,"ja",40,"im Schnitt mehrfach pro Tag","passt insgesamt",2,0,3.4,3,"5"
"132","03.03.2016 15:36:15","",3,4,1,2,2,4,2,4,2,2,NA,NA,23,"Mann",2,1,"nein",48,"im Schnitt mehrfach pro Tag","passt insgesamt nicht",8,0.0434782608695652,2.6,2,"5"
"133","03.03.2016 15:36:25","",4,4,2,3,3,4,4,4,3,2,500,40,22,"Mann",3,5,"nein",40,"im Schnitt 1 Mal pro Tag","passt insgesamt",6,0,3.3,3.5,"4"
"134","03.03.2016 15:36:26","MSG",4,4,3,3,3,3,3,3,4,2,719,8,24,"Frau",3,10,"nein",25,"im Schnitt 1 Mal pro Woche","passt insgesamt",2,0,3.2,3,"3"
"135","03.03.2016 15:36:30","KBP",4,4,3,NA,4,3,3,3,3,2,250,10,28,"Frau",3,15,"nein",20,"im Schnitt 1 Mal pro Monat","passt insgesamt",4,0.0434782608695652,3.22222222222222,3,"2"
"136","03.03.2016 15:36:34","CPS",4,4,2,3,3,3,2,2,3,1,100,3,21,"Frau",2,15,"nein",15,"im Schnitt 1 Mal pro Tag","keine Antwort",5,0,2.7,3,"4"
"137","03.03.2016 15:36:38","ala",4,3,3,3,2,4,NA,4,4,3,500,10,21,"Frau",2,10,"ja",60,"im Schnitt mehrfach pro Tag","passt insgesamt",3,0.0434782608695652,3.33333333333333,3,"5"
"138","03.03.2016 15:36:39","MGI",3,3,3,3,3,3,3,4,4,1,750,NA,25,"Frau",2,10,"nein",30,"im Schnitt mehrfach pro Tag","keine Antwort",10,0,3,3,"5"
